|         in         |  sel  |         a          |         b          |         c          |         d          |         e          |         f          |         g          |         h          |
|  0000000000000000  |  000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0000000000000000  |  001  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0000000000000000  |  010  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0000000000000000  |  011  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0000000000000000  |  100  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0000000000000000  |  101  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0000000000000000  |  110  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0000000000000000  |  111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0010010010010010  |  000  |  0010010010010010  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0010010010010010  |  001  |  0000000000000000  |  0010010010010010  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0010010010010010  |  010  |  0000000000000000  |  0000000000000000  |  0010010010010010  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0010010010010010  |  011  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0010010010010010  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0010010010010010  |  100  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0010010010010010  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0010010010010010  |  101  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0010010010010010  |  0000000000000000  |  0000000000000000  |
|  0010010010010010  |  110  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0010010010010010  |  0000000000000000  |
|  0010010010010010  |  111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0010010010010010  |
|  1111111111111111  |  000  |  1111111111111111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111111111111  |  001  |  0000000000000000  |  1111111111111111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111111111111  |  010  |  0000000000000000  |  0000000000000000  |  1111111111111111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111111111111  |  011  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111111111111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111111111111  |  100  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111111111111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  1111111111111111  |  101  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111111111111  |  0000000000000000  |  0000000000000000  |
|  1111111111111111  |  110  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111111111111  |  0000000000000000  |
|  1111111111111111  |  111  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  1111111111111111  |
|  0111100001111000  |  000  |  0111100001111000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0111100001111000  |  001  |  0000000000000000  |  0111100001111000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0111100001111000  |  010  |  0000000000000000  |  0000000000000000  |  0111100001111000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
|  0111100001111000  |  011  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0111100001111000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |  0000000000000000  |
